Brewery,Beer,ABV
Green Flash,Serrano Stout,8.80%
Green Flash,Saison Diego,4.50%
Green Flash,Citra Session IPA,4.30%
Left Coast,Boardwalk Saison,7.80%
Left Coast,Tommy - session pale ale,4.10%
Pretty Things/Yeastie Boys,Our Turn Your Turn,7%
Ballast Point,Chipotle/Chocolate/Orange Black Marlin,6%
Ballast Point,Fathom IPL,7%
Ballast Point,Sea Monster,10%
Ballast Point,Victory at Sea,10%
Rogue,Choc Stout,6%
Speakeasy,Butchertown Black Ale,8.20%
Speakeasy,Smoked Payback Porter,7.50%
Southern Tier,Compass,9%
Southern Tier,Creme Brulee,9.60%
Jungle,Kiasu Stout,7%
Jungle,Tropical Wheat Orange & Mango,4.30%
Jungle,Nutmeg & Mace Steam Lager,4.50%
Baird,Kurofune Porter,6%
Lobethal,Double Hop IPA?,5.90%
Murray's,Wild Thing,10%
Nail,Clout Stout,13%
8 Wired,Something Barrelly?,?
Garage Project,Weasel Ca Phe Dah,?
Funk Estate,Pink Peppercorn Saison,?
ParrotDog,Pitbull,?
Mikes,Hemp beer?,?
Kereru,Pohutakawa Golden Ale,5%
Golden Bear,IPAL,7.10%
Hallertau,Funkonnay,6.50%
Brewaucracy/666,Devil in the Detail (In Triplicate hopped up.),9.6% ?
Baylands,Pink bubblegum thing,??
F&B Beer,tbc,??
Fitzpatricks,American Brown Ale,??
