name,brewery name,style,abv,hops,ibu,location,description
Wild Feijoa,8 Wired Brewing,,9.5,,10,CZBB,Barrel Aged Pale Sour Beer with Feijoa
Rewired Unchained,8 Wired Brewing,,6,,30,CZBB,Barrel Aged Brown Ale with Brettanomyces
Broadside,Adnams Brewery (UK),,6.3,,,CZ9,A dark ruby red beer rich in fruitcake aromas
Ghostship,Adnams Brewery (UK),,4.5,,,CZ9,Good assertive pithy bitterness and a malty backbone
Gunhill ,Adnams Brewery (UK),,4,,,CZ9,Cross between a dark mild and a brown ale
Explorer,Adnams Brewery (UK),,5,,,CZ9,"Light and refreshing, suffused with the aromas of a grapefruit grove"
Southwold Bitter,Adnams Brewery (UK),,4.1,,,CZ9,"Beautiful copper-coloured beer, late and dry-hopped with Fuggles "
Innovation,Adnams Brewery (UK),,6.7,,,CZ9,Adnams version of an American IPA.  Wonderful grapefruit and tropical fruit aroma 
Dry Premier Cru,Aspall Cyder,,7,,,HZ29,"Pale, subtle and crisp, with a fresh aroma of English apples."
Organic,Aspall Cyder,,7,,,HZ29,"Traditional bittersweet cyder apple, with floral and spicy overtones"
Perronelle's Blush,Aspall Cyder,,7,,,HZ29,Deceptively smooth with a silky but refreshing palate
Crisp Draught,Aspall Cyder,,5.5,,,HZ29,Medium dry cyder with a mouth filling mousse and a delicate flavour
Lady Jennifer's,Aspall Cyder,,4,,,HZ29,Pleasing apple tasting finish that is light with a slightly sweet palate.
Czechmate Pilsner,Bach Brewing,,5,,38,CZ24,"Golden-blonde, honeyed malt, spice-lemon notes, crisp medium body"
Hopsmacker Pale Ale,Bach Brewing,,5.8,,50,CZ24,"Pale amber, grapefruit, passionfruit, turkish delight notes"
Kingtide Pacific IPA,Bach Brewing,,7,,69,CZ24,"Deep golden, biscuit malt, big hops, tropical fruit explosion"
Duskrider Red IPA,Bach Brewing,,6,,45,CZ24,"Red amber hue, rich malts, citrus & mango, full body"
The First Lady,Beer Baroness,,5.6,,46,NZPB,"APA with Tropical fruits, apricots and citrus and lingering bitterness"
Chur NZ Pale Ale,Behemoth Brewing Co,,5.2,,30,CZBB,"NZ Hop fruit salad, big passionfruit, tropical flavours & aromas in a glass. Moderate bitterness"
Milk Stout,Behemoth Brewing Co,,5.5,,25,CZBB,"Creamy, chocolatey, roasty, velvety, balanced, smooth"
Citra Unleashed,Black Dog Brew Co,,6.2,,60,CZ13,"APA brewed with a heap of Citra hops. Hoppy, balanced beast without excessive bitterness."
Pango Kuri,Black Dog Brew Co,,5.8,,40,CZ13,"American style stout. Nicely balanced brew of hops, bitterness, chocolate and coffee. (Bronze at AIBA 2014)"
Verrity Best Bitter,Black Dog Brew Co,,4.8,,30,CZ13,"Named after our good friends Ted & Frances Verrity, this British style of beer has less carbonation, tastes best a little warmed"
Mailnons,Black Dog Brew Co,,7,,35,CZ13,"""Saison"" French for ""Season"", the fruit & spice characters are produced during a warm fermentation.(Silver at AIBA 2014)"
Chomp ,Black Dog Brew Co,,4.8,,35,CZ13,NZ Pale Ale made with Pacifica & Motueka hops 
Bite,Black Dog Brew Co,,5.5,,50,CZ13,"A Hoppy Pilsner done in a Kiwi style, made with Motueka & Nelson Sauvin hops"
Mitte,Boatrocker Brewery,,3.5,,10,HZAB,Aged in Chardonnay barrels with Brettanomyces and Lactobcillus
Effective Measure  ,Brewaucracy,,7.2,,,HZFB,"Spicy, heady, juniper notes with a dry finish"
Pepper Steak Porter,Brew Cult,,6,,,HZAB,Porter style beer
Salt Dick,Brew Cult,,6,,,HZAB,Magic Rock Collab
Can't Fight The Funkn Farmhouse IPA,Brew Cult,,6.2,,,HZAB,IPA style beer
Bling Bling Imperial IPA,Bridge Road Brewers,,8.5,,,HZAB,"Malt heavy, Imperial IPA, hopped with Australian and US hops"
Aurora Borealis 2,Bridge Road Brewers,,9,,,HZAB,Cognac barrel aged Belgian Tripel
Milk Stout,Cassels & Sons Brewery,,5.2,,26,HZ35,"A rich creamy, chocolaty, sweet stout"
Best Bitter,Cassels & Sons Brewery,,4.3,,45,HZ35,A big malt base balances fruity & tangy flavours
Alchemist Pale Ale,Cassels & Sons Brewery,,4.6,,38,HZ35,Citrus. A pleasant lightly hopped real ale
Extra Special Bitter,Cassels & Sons Brewery,,5.7,,42,HZ35,Strong! Single hop UK East Kent Goldings
American Pale Ale,Cassels & Sons Brewery,,5.4,,57,HZ35,"Big, fruity passionfruit aroma & flavour. Citra Hops!"
Cavalier Pale,Cavalier Brewing,,5,,20,HZAB,"New world pale ale, big hop and malt profiles present"
Cavalier Brown ,Cavalier Brewing,,5,,20,HZAB,"Chocolate, coffee, toffee and a smooth creamy mouthfeel"
Isaac's Apple Cider,Cider Hut,,5,,,HZ30,Refreshing apple base with crisp finish and subtle chardonnay flavours
Isaac's Feijoa Cider,Cider Hut,,5,,,HZ30,"A light, dry cider with refreshing balance of apple and feijoa"
Isaac's Berry Cider,Cider Hut,,5,,,HZ30,A crisp cider hit with a finish of boysenberry flavours
Isaac's Blackcurrant & Manuka Honey Cider,Cider Hut,,5,,,HZ30,A slightly sweeter cider with blackcurrant and a manuka honey finish
Kirin Fuji Apple Cider,Cider Hut,,4,,,HZ30,Fresh Fuji apple flavours with a delicate crisp finish
Kirin Apple & Ginger Cider,Cider Hut,,4,,,HZ30,Refreshing with warm aromas and a sweet spicy finish
Bier Royale,Commons Brewery,,5.5,,3,NZPO,Sour ale with Black Currants
Fleur de Blanc,Commons Brewery,,5.9,,12,NZPO,White farmhouse ale with Rose and Elderflowers
Urban Farmhouse Ale,Commons Brewery,,5.3,,17,NZPO,"Simple, refreshing Belgian farmhouse ale."
Nova Pacifica,Commons Brewery,,5.9,,29,NZPO,Fruity Saison with Nelson Sauvin and Meridian Hops
Flemish Kiss,Commons Brewery,,6.5,,25,NZPO,Pale ale with Brettanomyces
Crafty Beggars Golden Days ,Craft Bar,,4,,21,HZ33,Clean hop bitterness balanced with light malt sweetness
Crafty Beggars Pale & Interesting,Craft Bar,,4,,22.5,HZ33,Caramalised maltiness with a crisp bitter finish
James Squire 4 Wives Pilsener,Craft Bar,,5,,31,HZ33,"Clean bitterness with grassy, citrusy hop flavours"
James Squire Nine Tales Amber ale,Craft Bar,,5,,20,HZ33,A rich creamy maltness with a slightly nutty finish
Honey Lager,Craft Bar,,5.1,,18,HZ33,Crisp hoppy notes with a gentle but sweet honey finish
Moose Knuckle,Deep Creek Brewing Co.,,6.5,,35,CZ6,"Whiskey barrel aged Robust Porter. Whisky, Coffee, Chocolate"
Dominatrix,Deep Creek Brewing Co.,,7.3,,85,CZ6,"IIPA. Grapefruit, orange, pine, caramel"
